chinese,english,source,refs_list
一呼百诺,to promise to fulfill someone's request or command immediately,JSON,"[""to promise to fulfill someone's request or command immediately""]"
一呼百应,one call and a hundred respond,JSON,['one call and a hundred respond']
一挥而就,to complete a task effortlessly and quickly with a single gesture,JSON,['to complete a task effortlessly and quickly with a single gesture']
一技之长,a skill or expertise in a particular area,JSON,['a skill or expertise in a particular area']
一见钟情,falling in love at first sight,JSON,['falling in love at first sight']
一箭双雕,achieving two goals with one action,JSON,['achieving two goals with one action']
一见如故,feeling like old friends at the first meeting,JSON,['feeling like old friends at the first meeting']
一举两得,achieving two goals with a single action,JSON,['achieving two goals with a single action']
一举成名,to become famous in one single action or achievement,JSON,['to become famous in one single action or achievement']
一蹶不振,to be unable to recover after a setback or failure,JSON,['to be unable to recover after a setback or failure']
一决雌雄,to have a decisive battle to determine the winner and loser,JSON,['to have a decisive battle to determine the winner and loser']
一气呵成,"to complete a task or work in one go, without stopping or taking a break",JSON,"['to complete a task or work in one go, without stopping or taking a break']"
一窍不通,"not the slightest understanding, completely ignorant or clueless",JSON,"['not the slightest understanding, completely ignorant or clueless']"
一丘之貉,birds of a feather flock together,JSON,['birds of a feather flock together']
一钱不值,"worthless, not worth a penny",JSON,"['worthless, not worth a penny']"
一清二楚,"clear and distinct, leaving no room for doubt",JSON,"['clear and distinct, leaving no room for doubt']"
一去不复返,can never be returned or recovered once gone,JSON,['can never be returned or recovered once gone']
一穷二白,"completely impoverished, having nothing at all",JSON,"['completely impoverished, having nothing at all']"
一息尚存,"still alive, though barely",JSON,"['still alive, though barely']"
一蟹不如一蟹,comparing two things and stating that one is not as good as the other,JSON,['comparing two things and stating that one is not as good as the other']
一泻千里,go a long way at one go/ make rapid progress,JSON,['go a long way at one go/ make rapid progress']
一笑置之,to dismiss or treat something (usually a problem or criticism) with a smile and ignore it,JSON,"['to dismiss or treat something ,usually a problem or criticism with a smile and ignore it']"
一心一德,united in thought and purpose,JSON,['united in thought and purpose']
一心一意,to be single-minded and wholeheartedly focused on something,JSON,['to be single-minded and wholeheartedly focused on something']
一厢情愿,being wishful thinking and not considering the reality or other perspectives,JSON,['being wishful thinking and not considering the reality or other perspectives']
一知半解,having only a superficial or partial understanding,JSON,['having only a superficial or partial understanding']
一纸空文,empty words on paper,JSON,['empty words on paper']
一掷千金,spend a large amount of money at once,JSON,['spend a large amount of money at once']
一朝被蛇咬，十年怕井绳,Having a lingering fear or trauma after a past negative experience; being cautious and apprehensive for a long time after a single incident,JSON,"['having a lingering fear or trauma after a past negative experience', 'being cautious and apprehensive for a long time after a single incident']"
一朝一夕,within a short period of time; very quickly,JSON,"['within a short period of time', 'very quickly']"
一枕黄粱,to have a fleeting dream or illusion; to wake up from a beautiful dream,JSON,"['to have a fleeting dream or illusion', 'to wake up from a beautiful dream']"
一针见血,hitting the nail on the head; getting straight to the point,JSON,"['hitting the nail on the head', 'getting straight to the point']"
一张一弛,alternating between exertion and rest; maintaining a balance between work and relaxation,JSON,"['alternating between exertion and rest', 'maintaining a balance between work and relaxation']"
一着不慎，满盘皆输,one careless move leads to total failure; making a single mistake causes the whole plan to go wrong,JSON,"['one careless move leads to total failure', 'making a single mistake causes the whole plan to go wrong']"
一差二错,"making one mistake after another, with each mistake being worse than the previous one",JSON,"['making one mistake after another, with each mistake being worse than the previous one']"
一筹莫展,to be at a loss and unable to come up with a solution,JSON,['to be at a loss and unable to come up with a solution']
一尘不染,completely untainted or unaffected by worldly desires or influences,JSON,['completely untainted or unaffected by worldly desires or influences']
一唱百和,Everyone chimes in harmoniously; everyone speaks in unison,JSON,"['everyone chimes in harmoniously', 'everyone speaks in unison']"
一唱一和,"to sing in harmony, to cooperate well together",JSON,"['to sing in harmony, to cooperate well together']"
一成不变,"unchanging, remaining the same",JSON,"['unchanging, remaining the same']"
一触即发,on the verge of erupting or happening,JSON,['on the verge of erupting or happening']
一触即溃,"a situation that is on the verge of collapsing or breaking down, where a minor touch or disturbance could lead to a quick and complete failure",JSON,"['a situation that is on the verge of collapsing or breaking down, where a minor touch or disturbance could lead to a quick and complete failure']"
一视同仁,Treating everyone equally and impartially,JSON,['treating everyone equally and impartially']
一失足成千古恨,one mistake can lead to lifelong regret,JSON,['one mistake can lead to lifelong regret']
一事无成,achieving nothing; being unsuccessful,JSON,"['achieving nothing', 'being unsuccessful']"
一手包办,to handle or take care of everything oneself,JSON,['to handle or take care of everything oneself']
一手遮天,"dominating and controlling everything, covering up the truth and manipulating the situation",JSON,"['dominating and controlling everything, covering up the truth and manipulating the situation']"
一身是胆,having great courage,JSON,['having great courage']
一日千里,making rapid progress or advancing at an astonishing speed,JSON,['making rapid progress or advancing at an astonishing speed']
一日三秋,"feeling like a long time has passed, experiencing a deep longing or missing someone or something",JSON,"['feeling like a long time has passed, experiencing a deep longing or missing someone or something']"
一人得道，鸡犬升天,"when one person succeeds, even the chickens and dogs can ascend to heaven",JSON,"['when one person succeeds, even the chickens and dogs can ascend to heaven']"
一人传虚，万人传实,"One person spreads a rumor, but thousands believe it to be true",JSON,"['one person spreads a rumor, but thousands believe it to be true']"
一如既往,as usual; consistent; unchanged,JSON,"['as usual', 'consistent', 'unchanged']"
一字千金,"extremely valuable, each word is worth a thousand pieces of gold",JSON,"['extremely valuable, each word is worth a thousand pieces of gold']"
一则以喜，一则以惧,simultaneously experiencing both joy and fear,JSON,['simultaneously experiencing both joy and fear']
一蹴而就,to achieve success quickly and effortlessly,JSON,['to achieve success quickly and effortlessly']
一寸丹心,a strong and unwavering loyalty or devotion to someone or something,JSON,['a strong and unwavering loyalty or devotion to someone or something']
一寸光阴一寸金,Time is precious and should not be wasted.,JSON,['time is precious and should not be wasted.']
一丝不苟,meticulous and paying attention to every detail,JSON,['meticulous and paying attention to every detail']
一丝不挂,completely naked; without any clothes,JSON,"['completely naked', 'without any clothes']"
一丝一毫,even the smallest amount; the tiniest bit,JSON,"['even the smallest amount', 'the tiniest bit']"
一扫而空,"swept away completely, leaving nothing behind",JSON,"['swept away completely, leaving nothing behind']"
一而再，再而三,"repeatedly, again and again",JSON,"['repeatedly, again and again']"
一衣带水,"""a long river flowing through one's clothes"" or ""a river running just through one's clothes""",JSON,"[""a long river flowing through one's clothes"", ""a river running just through one's clothes""]"
一意孤行,to persist in one's own way or course of action regardless of others' opinions or advice,JSON,"[""to persist in one's own way or course of action regardless of others' opinions or advice""]"
一叶知秋,to know the whole situation from a small clue,JSON,['to know the whole situation from a small clue']
一叶障目，不见泰山,"Being blinded by a single leaf, unable to see Mount Tai",JSON,"['being blinded by a single leaf, unable to see mount tai']"
一言难尽,difficult to fully explain or express in just a few words,JSON,['difficult to fully explain or express in just a few words']
一言既出，驷马难追,"Once spoken, it is hard to take back or undo.",JSON,"['once spoken, it is hard to take back or undo.']"
一言以蔽之,to sum it up in a few words; to put it simply,JSON,"['to sum it up in a few words', 'to put it simply']"
一言为定,to make a firm decision or promise with just one statement,JSON,['to make a firm decision or promise with just one statement']
一无可取,"nothing worthwhile or beneficial, having no positive qualities",JSON,"['nothing worthwhile or beneficial, having no positive qualities']"
一物降一物,one thing can counteract another,JSON,['one thing can counteract another']
一无是处,completely without merit or value,JSON,['completely without merit or value']
一误再误,making one mistake after another,JSON,['making one mistake after another']
一无所知,having no knowledge or being completely unaware,JSON,['having no knowledge or being completely unaware']
一无所长,having no particular skills or talents,JSON,['having no particular skills or talents']
一无所有,having nothing at all,JSON,['having nothing at all']
一五一十,give a detailed and accurate account,JSON,['give a detailed and accurate account']
一文不值,"worthless, of no value at all",JSON,"['worthless, of no value at all']"
一问三不知,Knowing nothing when asked multiple questions,JSON,['knowing nothing when asked multiple questions']
一网打尽,to capture or solve everything in one fell swoop,JSON,['to capture or solve everything in one fell swoop']
一往情深,"deeply in love, wholeheartedly devoted",JSON,"['deeply in love, wholeheartedly devoted']"
一望而知,to know or understand something just by one quick glance or observation,JSON,['to know or understand something just by one quick glance or observation']
一望无际,"endless and boundless, stretching as far as the eye can see",JSON,"['endless and boundless, stretching as far as the eye can see']"
一往无前,"unstoppable, forging ahead without hesitation or doubt",JSON,"['unstoppable, forging ahead without hesitation or doubt']"
一语破的,saying something that hits the point and reveals the truth,JSON,['saying something that hits the point and reveals the truth']
一语道破,to directly and accurately point out a key issue or truth with just a single sentence,JSON,['to directly and accurately point out a key issue or truth with just a single sentence']
七拼八凑,"gathering and assembling resources from different places in order to make do or complete something, often in a haphazard or makeshift way",JSON,"['gathering and assembling resources from different places in order to make do or complete something, often in a haphazard or makeshift way']"
七颠八倒,totally confused; everything is turned upside down,JSON,"['totally confused', 'everything is turned upside down']"
七零八落,disorganized and scattered,JSON,['disorganized and scattered']
七窍生烟,getting extremely angry or losing control of one's temper,JSON,"[""getting extremely angry or losing control of one's temper""]"
七长八短,unexpected accidents or problems that arise,JSON,['unexpected accidents or problems that arise']
七手八脚,being clumsily and uncoordinated; everyone being in the way,JSON,"['being clumsily and uncoordinated', 'everyone being in the way']"
七上八下,a state of extreme anxiety or uneasiness,JSON,['a state of extreme anxiety or uneasiness']
七嘴八舌,Everybody talking at once,JSON,['everybody talking at once']
三番五次,repeatedly; over and over again,JSON,"['repeatedly', 'over and over again']"
三头六臂,having extraordinary capabilities; being able to handle multiple tasks at once,JSON,"['having extraordinary capabilities', 'being able to handle multiple tasks at once']"
三天打鱼，两天晒网,occasionally doing some work while mostly idling or being lazy,JSON,['occasionally doing some work while mostly idling or being lazy']
三令五申,repeatedly and emphatically instructing or reminding someone,JSON,['repeatedly and emphatically instructing or reminding someone']
三个臭皮匠，胜过一个诸葛亮,Three ordinary people working together can surpass the wisdom of a brilliant individual.,JSON,['three ordinary people working together can surpass the wisdom of a brilliant individual.']
三顾茅庐,"""paying multiple visits to someone's humble abode"" (used to describe someone's persistent efforts to seek advice or assistance from someone highly respected or knowledgeable)",JSON,"[""paying multiple visits to someone's humble abode""]"
三句话不离本行,always talking about one's own profession or area of expertise,JSON,"[""always talking about one's own profession or area of expertise""]"
三心二意,having conflicting or undecided thoughts or intentions,JSON,['having conflicting or undecided thoughts or intentions']
三长两短,unexpected misfortune or accident,JSON,['unexpected misfortune or accident']
三十六计，走为上策,"Of the Thirty-Six Stratagems, fleeing is the best plan.",JSON,"['of the thirty-six stratagems, fleeing is the best plan.']"
三生有幸,to be fortunate enough to have three lifetimes,JSON,['to be fortunate enough to have three lifetimes']
三人行必有我师,I find something to learn from everyone I meet; there is always something to learn from others,JSON,"['i find something to learn from everyone i meet', 'there is always something to learn from others']"
三足鼎立,Three powers holding the balance of power,JSON,['three powers holding the balance of power']
三寸不烂之舌,a silver tongue that can persuade others with just a few words,JSON,['a silver tongue that can persuade others with just a few words']
三思而行,Think thrice before you act,JSON,['think thrice before you act']
三三两两,in groups of two or three,JSON,['in groups of two or three']
三言两语,a few words; brief and concise,JSON,"['a few words', 'brief and concise']"
三五成群,gathering in small groups or cliques,JSON,['gathering in small groups or cliques']
三位一体,"""the three parts forming a whole"" or ""trinity""",JSON,"['the three parts forming a whole', 'trinity']"
上不着天，下不着地,feeling stuck or in a difficult situation where one cannot make progress or find a solution,JSON,['feeling stuck or in a difficult situation where one cannot make progress or find a solution']
上天无路，入地无门,"no way out, nowhere to go",JSON,"['no way out, nowhere to go']"
上梁不正下梁歪,"If the upper beam is not straight, the lower beams will be crooked",JSON,"['if the upper beam is not straight, the lower beams will be crooked']"
上下其手,to use both hands (to work); also refers to being skillful or adept at something,JSON,"['to use both hands ,to work', 'also refers to being skillful or adept at something']"
上行下效,to follow the example of superiors and learn from their success,JSON,['to follow the example of superiors and learn from their success']
上谄下骄,Superiors flatter and inferior become arrogant,JSON,['superiors flatter and inferior become arrogant']
上蹿下跳,be jumpy and restless,JSON,['be jumpy and restless']
上无片瓦，下无插针之地,having no place to stay; being in a difficult situation without any support or shelter,JSON,"['having no place to stay', 'being in a difficult situation without any support or shelter']"
下笔千言，离题万里,Going off on tangents and writing a lot of words that are unrelated to the main topic,JSON,['going off on tangents and writing a lot of words that are unrelated to the main topic']
下不为例,should not be taken as a precedent,JSON,['should not be taken as a precedent']
下马看花,making a superficial judgment without fully understanding or appreciating something,JSON,['making a superficial judgment without fully understanding or appreciating something']
下里巴人,Uncivilized and uncultured,JSON,['uncivilized and uncultured']
下车伊始,from the moment one gets off the car,JSON,['from the moment one gets off the car']
不败之地,a place or situation that is invincible or cannot be defeated,JSON,['a place or situation that is invincible or cannot be defeated']
不白之冤,an injustice that cannot be righted,JSON,['an injustice that cannot be righted']
不辨菽麦,unable to tell the difference between right and wrong; unable to distinguish between the valuable and the worthless,JSON,"['unable to tell the difference between right and wrong', 'unable to distinguish between the valuable and the worthless']"
不破不立,"No breakthrough, no progress",JSON,"['no breakthrough, no progress']"
不偏不倚,"impartial, fair and just",JSON,"['impartial, fair and just']"
不平则鸣,to voice one's grievances or complaints when seeing injustice or unfairness,JSON,"[""to voice one's grievances or complaints when seeing injustice or unfairness""]"
不毛之地,a barren land; a place that is unproductive or lacks potential,JSON,"['a barren land', 'a place that is unproductive or lacks potential']"
不谋而合,to coincide without prior planning; happening to have the same ideas or opinions without intentional coordination,JSON,"['to coincide without prior planning', 'happening to have the same ideas or opinions without intentional coordination']"
不明不白,unclear; without clarity or understanding,JSON,"['unclear', 'without clarity or understanding']"
不名一文,without a penny; penniless; broke,JSON,"['without a penny', 'penniless', 'broke']"
不乏其人,"""not lacking such people""; ""there is no shortage of such individuals""",JSON,"['not lacking such people', 'there is no shortage of such individuals']"
不费吹灰之力,"accomplishing something effortlessly, without exerting much effort",JSON,"['accomplishing something effortlessly, without exerting much effort']"
不分彼此,indistinguishable; unable to differentiate between two or more things,JSON,"['indistinguishable', 'unable to differentiate between two or more things']"
不分皂白,"not distinguishing between right and wrong, unable to differentiate the truth from falsehood",JSON,"['not distinguishing between right and wrong, unable to differentiate the truth from falsehood']"
不打不成相识,Only through conflict can we get to know each other.,JSON,['only through conflict can we get to know each other.']
不违农时,to follow the right timing; to act in accordance with the agricultural season,JSON,"['to follow the right timing', 'to act in accordance with the agricultural season']"
不打自招,confessing without being interrogated,JSON,['confessing without being interrogated']
不到黄河心不死,not giving up until one reaches the last resort or desperate situation,JSON,['not giving up until one reaches the last resort or desperate situation']
不得人心,not being accepted or liked by the people,JSON,['not being accepted or liked by the people']
不得要领,Not grasping the key point,JSON,['not grasping the key point']
不登大雅之堂,not up to the level of sophistication or elegance,JSON,['not up to the level of sophistication or elegance']
不动声色,not showing any outward emotions or reactions,JSON,['not showing any outward emotions or reactions']
不痛不痒,neither painful nor itchy,JSON,['neither painful nor itchy']
不同凡响,"extraordinary, outstanding",JSON,"['extraordinary, outstanding']"
不能自拔,"Unable to extricate oneself, being in a state where one cannot help themselves",JSON,"['unable to extricate oneself, being in a state where one cannot help themselves']"
不念旧恶,"not holding grudges or seeking revenge, choosing to let go of past grievances",JSON,"['not holding grudges or seeking revenge, choosing to let go of past grievances']"
不宁唯是,Always restless and unsatisfied,JSON,['always restless and unsatisfied']
不劳而获,gain something without putting in any effort or work,JSON,['gain something without putting in any effort or work']
不郎不秀,neither good nor bad; average; mediocre,JSON,"['neither good nor bad', 'average', 'mediocre']"
不了了之,to leave a matter unresolved,JSON,['to leave a matter unresolved']
不吝指教,not hesitating to offer advice or suggestions,JSON,['not hesitating to offer advice or suggestions']
不露声色,not showing any expression or emotion on the surface; hiding one's true feelings or intentions,JSON,"['not showing any expression or emotion on the surface', ""hiding one's true feelings or intentions""]"
不落窠臼,"""thinking outside the box"" or ""refusing to be bound by conventions""",JSON,"['thinking outside the box', 'refusing to be bound by conventions']"
不伦不类,"neither fish nor fowl; neither one thing nor another; out of place;  neither classifiable, nor are they loosely associated with any specific category; miscellanea",JSON,"['neither fish nor fowl', 'neither one thing nor another', 'out of place', 'neither classifiable, nor are they loosely associated with any specific category', 'miscellanea']"
不苟言笑,not speaking or laughing casually or without thought; being serious and cautious in speech and behavior,JSON,"['not speaking or laughing casually or without thought', 'being serious and cautious in speech and behavior']"
不甘后人,not willing to be surpassed by others,JSON,['not willing to be surpassed by others']
不甘示弱,refusing to show weakness or to be inferior,JSON,['refusing to show weakness or to be inferior']
不敢越雷池一步,not daring to take a single step beyond the boundaries or rules; also refers to being cautious and not taking unnecessary risks,JSON,"['not daring to take a single step beyond the boundaries or rules', 'also refers to being cautious and not taking unnecessary risks']"
不过尔尔,mediocre; average; nothing special,JSON,"['mediocre', 'average', 'nothing special']"
不管三七二十一,regardless of the consequences or circumstances; without considering the details,JSON,"['regardless of the consequences or circumstances', 'without considering the details']"
不共戴天,cannot coexist or tolerate each other,JSON,['cannot coexist or tolerate each other']
不攻自破,defeat oneself without any external effort,JSON,['defeat oneself without any external effort']
不可偏废,"not to neglect or abandon, to give equal attention or importance to all aspects",JSON,"['not to neglect or abandon, to give equal attention or importance to all aspects']"
不可磨灭,"indestructible, unable to be erased or forgotten",JSON,"['indestructible, unable to be erased or forgotten']"
不可多得,"rare and precious, hard to come by",JSON,"['rare and precious, hard to come by']"
不可同日而语,"""cannot be mentioned in the same breath"" or ""cannot be compared""",JSON,"['cannot be mentioned in the same breath', 'cannot be compared']"
不可理喻,"unreasonable, unable to be reasoned with",JSON,"['unreasonable, unable to be reasoned with']"
不可开交,to be extremely intense or chaotic; also refers to a situation that cannot be resolved or settled,JSON,"['to be extremely intense or chaotic', 'also refers to a situation that cannot be resolved or settled']"
不可救药,"a hopeless situation or person, beyond any help or cure",JSON,"['a hopeless situation or person, beyond any help or cure']"
不可企及,"unattainable, beyond reach",JSON,"['unattainable, beyond reach']"
不可终日,unable to endure or bear for another day,JSON,['unable to endure or bear for another day']
不可收拾,"out of control, beyond repair, unable to be managed",JSON,"['out of control, beyond repair, unable to be managed']"
不可胜数,"countless, too numerous to be counted",JSON,"['countless, too numerous to be counted']"
不可思议,unbelievable,JSON,['unbelievable']
不可一世,arrogant or thinking oneself to be superior to others,JSON,['arrogant or thinking oneself to be superior to others']
不可言状,"indescribable, beyond words",JSON,"['indescribable, beyond words']"
不可逾越,cannot be surpassed or surpassed,JSON,['cannot be surpassed or surpassed']
不堪回首,too painful to look back on,JSON,['too painful to look back on']
不堪设想,"""unimaginable"" or ""too horrible to imagine""",JSON,"['unimaginable', 'too horrible to imagine']"
不堪造就,not able to bear or withstand nurturing or development,JSON,['not able to bear or withstand nurturing or development']
不堪一击,not be able to withstand a single blow,JSON,['not be able to withstand a single blow']
不亢不卑,neither arrogant nor servile,JSON,['neither arrogant nor servile']
不合时宜,not appropriate or timely,JSON,['not appropriate or timely']
不寒而栗,to shudder without feeling cold; to be frightened or terrified,JSON,"['to shudder without feeling cold', 'to be frightened or terrified']"
不欢而散,parting without joy,JSON,['parting without joy']
不即不离,keeping a certain distance but not completely separate,JSON,['keeping a certain distance but not completely separate']
不计其数,countless; too numerous to count,JSON,"['countless', 'too numerous to count']"
不急之务,a non-urgent matter,JSON,['a non-urgent matter']
不假思索,acting instinctively without thinking; doing something without hesitation or deliberation,JSON,"['acting instinctively without thinking', 'doing something without hesitation or deliberation']"
不骄不躁,neither arrogant nor impatient,JSON,['neither arrogant nor impatient']
不见棺材不落泪,Not shedding a tear until one sees the coffin,JSON,['not shedding a tear until one sees the coffin']
不见经传,having no prior experience or reputation; also refers to someone who lacks formal training or qualifications,JSON,"['having no prior experience or reputation', 'also refers to someone who lacks formal training or qualifications']"
不近人情,lacking in human sympathy or understanding,JSON,['lacking in human sympathy or understanding']
不进则退,Either advance or retreat; there is no staying the same,JSON,"['either advance or retreat', 'there is no staying the same']"
不经之谈,"a baseless argument, something that lacks any factual basis",JSON,"['a baseless argument, something that lacks any factual basis']"
不胫而走,spread quickly or widely (of information or rumors),JSON,"['spread quickly or widely ,of information or rumors']"
不经一事，不长一智,Experience is the best teacher; wisdom comes from experiencing setbacks or hardships,JSON,"['experience is the best teacher', 'wisdom comes from experiencing setbacks or hardships']"
不拘小节,not being bound by trivial details or rules,JSON,['not being bound by trivial details or rules']
不拘一格,not confined by rules or conventions; freely and creatively,JSON,"['not confined by rules or conventions', 'freely and creatively']"
不绝如缕,never-ending; unceasing,JSON,"['never-ending', 'unceasing']"
不期然而然,"happening unexpectedly or naturally, without any prior planning",JSON,"['happening unexpectedly or naturally, without any prior planning']"
不期而遇,meeting someone unexpectedly,JSON,['meeting someone unexpectedly']
不求甚解,not seeking a deep understanding; being content with superficial knowledge,JSON,"['not seeking a deep understanding', 'being content with superficial knowledge']"
不情之请,a request made against one's will or reluctantly,JSON,"[""a request made against one's will or reluctantly""]"
不屈不挠,unyielding and determined; refusing to give up or be discouraged,JSON,"['unyielding and determined', 'refusing to give up or be discouraged']"
不屑一顾,to disdain or disregard something as unworthy of attention,JSON,['to disdain or disregard something as unworthy of attention']
不肖子孙,unworthy descendants,JSON,['unworthy descendants']
不修边幅,"neglecting one's appearance, not well-groomed",JSON,"[""neglecting one's appearance, not well-groomed""]"
不相上下,"to be more or less equal, neither one being better or worse than the other",JSON,"['to be more or less equal, neither one being better or worse than the other']"
不省人事,being unconscious/not aware of what is happening,JSON,['being unconscious/not aware of what is happening']
不学无术,lacking in knowledge or skills,JSON,['lacking in knowledge or skills']
不知凡几,not aware of the extent or degree,JSON,['not aware of the extent or degree']
不知天高地厚,lack understanding or respect for someone's higher status or authority,JSON,"[""lack understanding or respect for someone's higher status or authority""]"
不知好歹,being ungrateful or not knowing how to appreciate the kindness or favors received,JSON,['being ungrateful or not knowing how to appreciate the kindness or favors received']
不知进退,being unable to judge whether to advance or retreat; not knowing how to handle a situation,JSON,"['being unable to judge whether to advance or retreat', 'not knowing how to handle a situation']"
不知人间有羞耻事,having no shame or sense of embarrassment,JSON,['having no shame or sense of embarrassment']
不知所措,"to be at a loss, unsure of what to do or how to handle a situation",JSON,"['to be at a loss, unsure of what to do or how to handle a situation']"
不知所以,ignorant; not knowing the reason or cause,JSON,"['ignorant', 'not knowing the reason or cause']"
不知所云,"not understanding what someone is saying, or not making any sense",JSON,"['not understanding what someone is saying, or not making any sense']"
不折不扣,"completely and thoroughly, without any doubt or hesitation",JSON,"['completely and thoroughly, without any doubt or hesitation']"
不置可否,neither confirm nor deny,JSON,['neither confirm nor deny']
不治之症,a terminal illness or condition that is incurable,JSON,['a terminal illness or condition that is incurable']
不着边际,"irrelevant, off-topic, not related",JSON,"['irrelevant, off-topic, not related']"
不耻下问,not feeling ashamed to ask someone lower in status or knowledge for guidance or advice,JSON,['not feeling ashamed to ask someone lower in status or knowledge for guidance or advice']
不成体统,"not conforming to the rules or customs, lacking order or discipline",JSON,"['not conforming to the rules or customs, lacking order or discipline']"
