chinese,english,source,refs_list
"""和厕所一样的臭地方""",What a shithole. What a toilet.,JSON,['What a shithole. What a toilet.']
因此，在考虑数码鸿沟问题时，我们注意到，电话、传真、用户电报和因特网通信在北方很发达——我称北方为联网的国家——而南方在这方面却极为欠缺。,"Thus, in considering the digital gap, we note that telephone, facsimile, telex and Internet communications are most developed in the North — in what I call the connected countries — whereas the South is sorely lacking in that regard.",JSON,"['Thus, in considering the digital gap, we note that telephone, facsimile, telex and Internet communications are most developed in the North — in what I call the connected countries — whereas the South is sorely lacking in that regard.']"
任何重建方案的成功取决于获得资金。,The success of any reconstruction programme depends on getting funds.,JSON,['The success of any reconstruction programme depends on getting funds.']
管理改革及更好的监督可有助于秘书处更好地执行任务，并接受问责。,"Management reform and improved oversight can help the Secretariat to implement mandates better, and hold it accountable for doing so.",JSON,"['Management reform and improved oversight can help the Secretariat to implement mandates better, and hold it accountable for doing so.']"
工发组织各成员可以携手迎接上述挑战，为子孙后代创造一个更好的世界。,"Together, the members of UNIDO could take up those challenges in the interests of a better world for future generations.",JSON,"['Together, the members of UNIDO could take up those challenges in the interests of a better world for future generations.']"
对我们释放所有的魔鬼力量,Unleash all the forces of evil upon us!,JSON,['Unleash all the forces of evil upon us!']
这将确保安全理事会第1397（2002）号决议切实有助于结束目前实地的惨痛境况，促使各方走上和平的道路。,That will ensure that Security Council resolution 1397 (2002) will indeed help end the current tragic situation on the ground and push the parties towards the path of peace.,JSON,['That will ensure that Security Council resolution 1397 (2002) will indeed help end the current tragic situation on the ground and push the parties towards the path of peace.']
"""明天的事""",What more than being in the dark,JSON,['What more than being in the dark']
在这方面，应当特别强调每一个儿童都有权参与家庭、学校、其他机构和机关、一般社会的事务，同时特别注意弱势和少数群体的儿童。,"In this connection, particular emphasis should be placed on the right of every child to participate in the family, at school, within other institutions and bodies, and in society at large, with special attention to vulnerable and minority groups.",JSON,"['In this connection, particular emphasis should be placed on the right of every child to participate in the family, at school, within other institutions and bodies, and in society at large, with special attention to vulnerable and minority groups.']"
伊拉克政府重申要求那些参与这一侵略的国家立即停止这些行为，因为它们没有国际法依据，侵犯了伊拉克主权，并严重危害到其安全与和平，而且直接严重威胁国际和平与安全。,"The Government of Iraq renews its call to the States involved in the aggression to halt these acts forthwith, since they are unsupported by international law, violate the sovereignty of Iraq and pose a grave threat to that country's security and peace, in addition to representing a direct and serious menace to international peace and security.",JSON,"[""The Government of Iraq renews its call to the States involved in the aggression to halt these acts forthwith, since they are unsupported by international law, violate the sovereignty of Iraq and pose a grave threat to that country's security and peace, in addition to representing a direct and serious menace to international peace and security.""]"
消除贫穷及其他发展问题：联合国第一个 消除贫穷十年(1997-2006)的执行情况,Eradication of poverty and other development issues: implementation of the first United Nations Decade for the Eradication of Poverty (1997-2006),JSON,['Eradication of poverty and other development issues: implementation of the first United Nations Decade for the Eradication of Poverty (1997-2006)']
这就是巴勒斯坦人是如何被杀害的，原因不外乎他们是巴勒斯坦人，这证实了以色列占领部队及其定居者手中对巴勒斯坦人民所犯的种族灭绝罪。,"This is how Palestinians are killed for no reason except for their being Palestinians, which affirms the crime of genocide of the Palestinian people at the hands of Israeli occupation forces and their settlers.",JSON,"['This is how Palestinians are killed for no reason except for their being Palestinians, which affirms the crime of genocide of the Palestinian people at the hands of Israeli occupation forces and their settlers.']"
在另一些事例中，伙伴在提出增值税退税要求时，行动缓慢。,"In other instances, partners were tardy in their submission of VAT reimbursement claims.",JSON,"['In other instances, partners were tardy in their submission of VAT reimbursement claims.']"
维修通道也塞不下那么多 Utility channels don't have enough elbow room 人和现金 for men and money.,Utility channels don't have enough elbow room for men and money.,JSON,"[""Utility channels don't have enough elbow room for men and money.""]"
3. Erwa先生（苏丹）说，他的代表团为此撤消向决议草案（A/C.3/54/L.93）提出的修正案文。,Mr. Erwa (Sudan) said that his delegation therefore withdrew the amendments to the draft resolution which it had submitted (A/C.3/54/L.93).,JSON,['Mr. Erwa (Sudan) said that his delegation therefore withdrew the amendments to the draft resolution which it had submitted (A/C.3/54/L.93).']
在金沙萨控制的地区，外交部长说，无论联合国组织驻刚果民主共和国观察团和其他“看钟下班的人”设下什么限制，他们都将发起攻击，同时，不断有人说要把战争继续下去。,"In the area under Kinshasa's control, the Minister for Foreign Affairs has said they will attack without regard for the limitations set by the United Nations Organization mission in the Democratic Republic of the Congo (MONUC) and other “clock-watchers”, while inflammatory statements are being made to continue with the war.",JSON,"[""In the area under Kinshasa's control, the Minister for Foreign Affairs has said they will attack without regard for the limitations set by the United\xa0Nations Organization mission in the Democratic Republic of the Congo (MONUC) and other “clock-watchers”, while inflammatory statements are being made to continue with the war.""]"
它可能向北， 甚至迁移 与scoters。,"It's probably heading north, maybe even migrating with scoters.",JSON,"[""It's probably heading north, maybe even migrating with scoters.""]"
* 以TD/B/49/L.1号文件提交贸易和发展理事会。,∗ Submitted to the Trade and Development Board in document TD/B/49/L.1.,JSON,['∗ Submitted to the Trade and Development Board in document TD/B/49/L.1.']
这类机制可由非洲联盟加以协调。,Such mechanisms could be coordinated by the African Union.,JSON,['Such mechanisms could be coordinated by the African Union.']
3. 另外，还根据2001年12月21日第56/186号决议，向大会第五十七届和第五十八届会议提交了其他报告（A/57/158和Add.1和2及A/58/125），报告载有29个会员国所做的答复，各国提供资料说明在执行该决议方面取得的进展，或者增补了载于前几次报告中的答复。,"Further reports (A/57/158 and Add.1 and 2 and A/58/125) were submitted to the General Assembly at its fifty-seventh and fifty-eighth sessions in response to resolution 56/186 of 21 December 2001, reflecting the responses of 29 Member States providing information on progress made in the implementation of the resolution or updating replies that had appeared in the previous report.",JSON,"['Further reports (A/57/158 and Add.1 and 2 and A/58/125) were submitted to the General Assembly at its fifty-seventh and fifty-eighth sessions in response to resolution 56/186 of 21 December 2001, reflecting the responses of 29 Member States providing information on progress made in the implementation of the resolution or updating replies that had appeared in the previous report.']"
ISBA/14/LTC/2号文件简要介绍了该提议。,The proposal is outlined in document ISBA/14/LTC/2.,JSON,['The proposal is outlined in document ISBA/14/LTC/2.']
C. 战略框架和建设和平基金付款之间的关系,C. Relationship between the strategic framework and the Peacebuilding Fund disbursement,JSON,['C. Relationship between the strategic framework and the Peacebuilding Fund disbursement']
(a) 提出启动申请,(a) Making an application for commencement,JSON,['(a) Making an application for commencement']
第6条更进一步规定，若不遵守该许可证之条件或该法令的规定，或者为了公共卫生、国家安全或联合王国承担的任何国际义务之利益的需要吊销、变更和/暂停该许可证的话，该大臣可以吊销、变更/或暂停该许可证。,"Section 6 further provides for the revocation, variation and/or suspension of the licence by the Secretary of State in cases of non-compliance with a condition of the licence or regulation under the Act or where such revocation, variation and/or suspension is required in the interests of public health, national security or any international obligation of the United Kingdom.",JSON,"['Section 6 further provides for the revocation, variation and/or suspension of the licence by the Secretary of State in cases of non-compliance with a condition of the licence or regulation under the Act or where such revocation, variation and/or suspension is required in the interests of public health, national security or any international obligation of the United Kingdom.']"
Songshaw控股,Songshaw Holdings?,JSON,['Songshaw Holdings?']
76．Khane先生 （委员会秘书）说，阿富汗、黎巴嫩和巴基斯坦已经加入了提案国行列。,"Mr. Khane (Secretary of the Committee) said that Afghanistan, Lebanon and Pakistan had joined the sponsors.",JSON,"['Mr. Khane (Secretary of the Committee) said that Afghanistan, Lebanon and Pakistan had joined the sponsors.']"
卓斌警官 弗兰克,- Lt. Drebin!,JSON,['- Lt. Drebin!']
根据联合国一系列文书、协定和条约，这一进程得以持续。,"This process is sustained in a series of instruments, agreements and treaties of the United Nations.",JSON,"['This process is sustained in a series of instruments, agreements and treaties of the United Nations.']"
tv = 核查年份,tv = year of verification,JSON,['tv = year of verification']
回顾其2000年12月4日第55/92号决议，,"Recalling its resolution 55/92 of 4 December 2000,",JSON,"['Recalling its resolution 55/92 of 4 December 2000,']"
世界银行主管对外事务和联合国事务副行长Ian Goldin博士将发表演讲。,"A presentation will be made by Dr. Ian Goldin, Vice-President for External Affairs and United Nations Affairs, World Bank.",JSON,"['A presentation will be made by Dr. Ian Goldin, Vice-President for External Affairs and United Nations Affairs, World Bank.']"
...我開始了,...and then I start.,JSON,['...and then I start.']
1. 第一组由8名视察员组成，于上午9时离开巴格达的Canal旅馆，前往国营公司AL-Karama下属的Al-Rifah；这是军事工业局下属的一个单位，位于巴格达以西70公里的Amiriya al-Fallouja区。,"A first group, consisting of eight inspectors, left the Canal Hotel in Baghdad at 0900 hours to inspect the Rifah site belonging to the Karamah State Enterprise, an MIC affiliate, located at Amiriyah/Fallujah, 70 km west of Baghdad.",JSON,"['A first group, consisting of eight inspectors, left the Canal Hotel in Baghdad at 0900 hours to inspect the Rifah site belonging to the Karamah State Enterprise, an MIC affiliate, located at Amiriyah/Fallujah, 70 km west of Baghdad.']"
卡尔先生（卡塔尔）（以阿拉伯语发言）：主席先生，我高兴地以卡塔尔国代表团的名义表示我们由衷祝贺你担任第一委员会主席。,"Mr. Al-Khal (Qatar) (spoke in Arabic): On behalf of the delegation of the State of Qatar, I have the pleasure to extend to you, Mr. Chairman, our sincere congratulations on your assumption of the chairmanship of the First Committee.",JSON,"['Mr. Al-Khal (Qatar) (spoke in Arabic): On behalf of the delegation of the State of Qatar, I have the pleasure to extend to you, Mr. Chairman, our sincere congratulations on your assumption of the chairmanship of the First Committee.']"
劳动权。,Right to work.,JSON,['Right to work.']
从联合国离职的工作人员有权领取最多为60天的未用休假日偿金。,"United Nations staff who separate from the Organization are entitled to be paid for any unused vacation days that they have accrued, up to a maximum of 60 days.",JSON,"['United Nations staff who separate from the Organization are entitled to be paid for any unused vacation days that they have accrued, up to a maximum of 60 days.']"
我们的目标是，通过金融行动工作组、货币基金组织、世界银行和类似于金融行动工作组的区域机构共同进行统一的评估，世界各国都将按照金融行动工作组的标准得到评估。,"It is our goal that through a combination of uniform assessments conducted by FA TF, IMF, World Bank, and FA TF-Style Regional Bodies, all countries throughout the world will be assessed against the FATF standards.",JSON,"['It is our goal that through a combination of uniform assessments conducted by FA TF, IMF, World Bank, and FA TF-Style Regional Bodies, all countries throughout the world will be assessed against the FATF standards.']"
这存在着一个阶层的 区别 但... 我们两个都迈出 了 步子,"It may not be the same level, but exceeded the limits.",JSON,"['It may not be the same level, but exceeded the limits.']"
1. 按照企业、工商促进和发展委员会在其第六届会议上提出的要求，2002年11月25日至27日举行了提高运输效率和简化贸易手续以促进发展中国家参加国际贸易：发展中国家应用最新贸易手续简化措施的问题和潜力专家会议。,"In accordance with the request of the Commission on Enterprise, Business Facilitation and Development at its sixth session, the Expert Meeting on Efficient Transport and Trade Facilitation to Improve Participation by Developing Countries in International Trade: Problems and Potential for the Application of Current Trade Facilitation Measures by Developing Countries was held from 25 to 27 November 2002. The issues discussed included the following:",JSON,"['In accordance with the request of the Commission on Enterprise, Business Facilitation and Development at its sixth session, the Expert Meeting on Efficient Transport and Trade Facilitation to Improve Participation by Developing Countries in International Trade: Problems and Potential for the Application of Current Trade Facilitation Measures by Developing Countries was held from 25 to 27\xa0November\xa02002. The issues discussed included the following:']"
所汇报的2008年度生产量和消费量数据的计算列于报告的附件一(a)、一(b)和一(c)。,"The calculated production and consumption data reported for 2008 are presented in annexes I (a), I (b) and I (c) to the present report.",JSON,"['The calculated production and consumption data reported for 2008 are presented in annexes I (a), I (b) and I (c) to the present report.']"
他特别提请注意序言部分第二、三、四、六和九段以及执行部分第2、3、4、9和10段。,"He drew particular attention to the second, third, fourth, sixth and ninth preambular paragraphs, and to paragraphs 2, 3, 4, 9 and 10.",JSON,"['He drew particular attention to the second, third, fourth, sixth and ninth preambular paragraphs, and to paragraphs 2, 3, 4, 9 and 10.']"
"我要你在我的裤子！""","I want you in my pants!""",JSON,"['I want you in my pants!""']"
它是一个法律问题，对这个领域我能说的或能作的贡献很少。,It is a legal issue and I really do not have much to add or contribute in that area.,JSON,['It is a legal issue and I really do not have much to add or contribute in that area.']
看看这些人 怎么样,Look at all these people?,JSON,['Look at all these people?']
1. 上诉分庭可以确认、推翻或修改根据第七十五条作出的赔偿命令。,"The Appeals Chamber may confirm, reverse or amend a reparation order made under article 75.",JSON,"['The Appeals Chamber may confirm, reverse or amend a reparation order made under article 75.']"
㈠ 销售出版物循环基金,(i) Sales publication revolving fund,JSON,['(i) Sales publication revolving fund']
不，他脑子不清楚。,No. He's not thinking straight.,JSON,"[""No. He's not thinking straight.""]"
64. 专家组注意到世界银行和粮农组织目前正在努力使森林产业、非政府组织和其他利害攸关者参与对话，制订和执行可持续森林管理措施，包括森林证明书制度，作为核查成果的手段。,"The expert group noted the ongoing work by the World Bank and FAO to engage the forest products industry, NGOs and other stakeholders in dialogue to develop and implement sustainable forest management practices, including forest certification systems as tools to verify achievements.",JSON,"['The expert group noted the ongoing work by the World Bank and FAO to engage the forest products industry, NGOs and other stakeholders in dialogue to develop and implement sustainable forest management practices, including forest certification systems as tools to verify achievements.']"
"截至2002年6月30日，未缴摊款总额为4 870万美元,减少了7 140万美元。",Total unpaid assessed contributions as at 30 June 2002 amounting to $48.7 million reflect a decrease of $71.4 million.,JSON,['Total unpaid assessed contributions as at 30 June 2002 amounting to $48.7 million reflect a decrease of $71.4 million.']
我得到了一个点火者 如果你想要燃烧那粪。,I got a lighter if you wanna burn that shit.,JSON,['I got a lighter if you wanna burn that shit.']
它坚决认为，这些行动将有助于创造一些条件，成为使得两个机构之间的关系能够良好运作的前提条件。,It strongly believes that these actions will help to create conditions that are prerequisites for making the partnership between the two institutions work.,JSON,['It strongly believes that these actions will help to create conditions that are prerequisites for making the partnership between the two institutions work.']
由于几个原因，风险资本更合适。 第一，风险资本资金提供的是灵活的长期产权资本，它是根据每个企业的独特需要确定的。,"Venture capital is more appropriate for several reasons. First, venture capital funds provide flexible, long-term equity capital which is customized according to the unique needs of each enterprise.",JSON,"['Venture capital is more appropriate for several reasons. First, venture capital funds provide flexible, long-term equity capital which is customized according to the unique needs of each enterprise.']"
(e) 执行部分第19段，将“考虑到上文第3段确认的五项关切领域”等字改为“铭记上文第3段所述五个问题”；,"(e) In operative paragraph 19, the words “to take into account the five concerns” were replaced by the words “to bear in mind the five issues”;",JSON,"['(e) In operative paragraph 19, the words “to take into account the five concerns” were replaced by the words “to bear in mind the five issues”;']"
因此，委员会必须在本届会议期间采取行动，授权秘书长与美国政府签署一项贷款协定，从而保留以不超过5.54％的年利率最多借款12亿美元的选择。,"Consequently, the Committee must act during the current session to authorize the Secretary-General to sign a loan agreement with the United States Government, thereby preserving the option of borrowing up to $1.2 billion at an interest rate not to exceed 5.54 per cent per annum.",JSON,"['Consequently, the Committee must act during the current session to authorize the Secretary-General to sign a loan agreement with the United States Government, thereby preserving the option of borrowing up to $1.2 billion at an interest rate not to exceed 5.54 per cent per annum.']"
** 2007年2月28日任期届满。,∗∗ Term expires on 28 February 2007.,JSON,['∗∗ Term expires on 28 February 2007.']
根据劳工组织第111号公约第二条，缔约国应“宣布并奉行旨在通过与国家状况和习惯相辅的做法，促进再就业和职业方面机会和待遇平等，以便消除其中的任何歧视”。,"1), information of the reasons must be given (para.",JSON,"['1), information of the reasons must be given (para.']"
日本每年在一个地方城市主办一次联合国裁军会议，不仅为来自亚太区域，也为来自全世界的杰出裁军专家提供进行有益讨论的宝贵机会。,"Every year, Japan sponsors a United Nations conference on disarmament in a local city, providing a valuable opportunity for distinguished disarmament experts not only from the Asia and Pacific region but also from around the world to engage in useful discussions.",JSON,"['Every year, Japan sponsors a United Nations conference on disarmament in a local city, providing a valuable opportunity for distinguished disarmament experts not only from the Asia and Pacific region but also from around the world to engage in useful discussions.']"
“适当地在国家一级制订立法、政策和方案，并加强国际合作，以期除其他外，防止儿童受到空气、水、土壤和食物中的有害环境污染物的伤害。”,"“Develop legislation, policies and programmes, as appropriate, at the national level and enhance international cooperation to prevent, inter alia, the exposure of children to harmful environmental contaminants in the air, water, soil and food.”",JSON,"['“Develop legislation, policies and programmes, as appropriate, at the national level and enhance international cooperation to prevent, inter alia, the exposure of children to harmful environmental contaminants in the air, water, soil and food.”']"
此时此刻 你们得做一个决定... ...是不是要把你们的家庭 和纯净感应家庭合并,"And right now, you have to make a decision of whether you wanna merge your family with the Pure Vibe family.",JSON,"['And right now, you have to make a decision of whether you wanna merge your family with the Pure Vibe family.']"
28. 在黑山于2006年6月成为一个独立的主权国家，并在国际上享有完全法人地位之后，代表致函该国政府，表示希望计划进行的改革能够全面遵守国际标准。,"After Montenegro became an independent and sovereign State with full international legal personality in June 2006, the Representative wrote to the Government, expressing his hope that envisaged reforms would be fully compatible with international standards.",JSON,"['After Montenegro became an independent and sovereign State with full international legal personality in June 2006, the Representative wrote to the Government, expressing his hope that envisaged reforms would be fully compatible with international standards.']"
因此，该问题暂时搁置。,It was therefore held in abeyance.,JSON,['It was therefore held in abeyance.']
丢弃剃须刀窗外。,Drop that razor out the window.,JSON,['Drop that razor out the window.']
不过国际学校也接受数量有限的外国和美国学生，以便为所有学生创造平衡的教育环境。,"Moreover, it also welcomes for enrolment a limited number from abroad and from the United States to make for a balanced educational exposure for all.",JSON,"['Moreover, it also welcomes for enrolment a limited number from abroad and from the United States to make for a balanced educational exposure for all.']"
主席（以英语发言）：委员会现在将对决议草案A/C.1/61/L.50采取行动。,The Chairperson: The Committee will now proceed to take action on draft resolution A/C.1/61/L.50.,JSON,['The Chairperson: The Committee will now proceed to take action on draft resolution A/C.1/61/L.50.']
这尤其可证诸中东，中东的可持续发展一直都受害于长期的冲突。,"That was particularly evident in the Middle East, where sustainable development had been a victim of the prolonged conflict.",JSON,"['That was particularly evident in the Middle East, where sustainable development had been a victim of the prolonged conflict.']"
可能是被賣到組織庫是嗎,That might have gone to a tissue bank?,JSON,['That might have gone to a tissue bank?']
安理会于11月20日举行会议（第4422次会议），审议了秘书长关于儿童与武装冲突问题的报告（S/2001/852）。,On 20 November the Council met (4422nd meeting) to consider the report of the Secretary-General on children and armed conflict (S/2001/852).,JSON,['On 20 November the Council met (4422nd meeting) to consider the report of the Secretary-General on children and armed conflict (S/2001/852).']
嗯。 （西班牙语喃喃）。,Um... (MURMURING IN SPANISH),JSON,['Um... (MURMURING IN SPANISH)']
2. 原型碳基金,Prototype Carbon Fund,JSON,['Prototype Carbon Fund']
与会者来自阿根廷、巴西、智利、哥伦比亚、哥斯达黎加、厄瓜多尔、墨西哥、秘鲁、乌拉圭和委内瑞拉。,"The participants were from Argentina, Brazil, Chile, Colombia, Costa Rica, Ecuador, Mexico, Peru, Uruguay and Venezuela.",JSON,"['The participants were from Argentina, Brazil, Chile, Colombia, Costa Rica, Ecuador, Mexico, Peru, Uruguay and Venezuela.']"
国际融资机制是技术小组2004年9月发表的第一份报告指出的机制之一，该报告是世界领导人有关“采取行动战胜饥饿和贫穷”会议的讨论的基础。,The IFF is one of the mechanisms identified by the technical group's first report issued in September 2004 and served as the basis for the discussions held at the world leaders meeting on “Action Against Hunger and Poverty”.,JSON,"[""The IFF is one of the mechanisms identified by the technical group's first report issued in September 2004 and served as the basis for the discussions held at the world leaders meeting on “Action Against Hunger and Poverty”.""]"
通过与整个联合国系统的各法律事务厅的持续联系，该办公室还设法确保以协调方式提供本系统内的法律咨询意见。,"Through continued ongoing contacts with legal offices throughout the United Nations system, the Office will seek to ensure that legal advice within the system is provided in a coordinated manner.",JSON,"['Through continued ongoing contacts with legal offices throughout the United Nations system, the Office will seek to ensure that legal advice within the system is provided in a coordinated manner.']"
一些国际组织和活跃的非政府组织参加了这个项目。,A number of international organizations and active non-governmental organizations participate in that project.,JSON,['A number of international organizations and active non-governmental organizations participate in that project.']
然后让她知道你做到了,And let her know you've done it.,JSON,"[""And let her know you've done it.""]"
评估艾滋病的影响时往往没有考虑到“社会资本”的损失或艾滋病毒/艾滋病对人力资本造成的长期损害。,Estimates of the impact of AIDS usually do not take into account the loss of “social capital” or the long-term damage accruing to human capital as a consequence of HIV/AIDS.,JSON,['Estimates of the impact of AIDS usually do not take into account the loss of “social capital” or the long-term damage accruing to human capital as a consequence of HIV/AIDS.']
而且，这实际导致和平进程被毁。 和平进程自从在马德里、后来在奥斯陆签订协定以来，尽管有时遇到些困难，但是好像在朝着和平解决冲突方向前进。,"Moreover, this led to a virtual dismantling of the peace process, which since Madrid and then Oslo appeared to have been gradually heading towards a peaceful resolution of the conflict, albeit with occasional difficulties.",JSON,"['Moreover, this led to a virtual dismantling of the peace process, which since Madrid and then Oslo appeared to have been gradually heading towards a peaceful resolution of the conflict, albeit with occasional difficulties.']"
不丹、柬埔寨、刚果、科特迪瓦、吉布提、加纳、危地马拉、肯尼亚、黎巴嫩、利比里亚、马拉维、毛里塔尼亚、摩洛哥、尼日尔、秘鲁、大韩民国、塞内加尔、塞拉利昂、南非、斯里兰卡、坦桑尼亚联合共和国、赞比亚。,"Bhutan, Cambodia, Congo, Côte d'Ivoire, Djibouti, Ghana, Guatemala, Kenya, Lebanon, Liberia, Malawi, Mauritania, Morocco, Niger, Peru, Republic of Korea, Senegal, Sierra Leone, South Africa, Sri Lanka, United Republic of Tanzania, Zambia.",JSON,"[""Bhutan, Cambodia, Congo, Côte d'Ivoire, Djibouti, Ghana, Guatemala, Kenya, Lebanon, Liberia, Malawi, Mauritania, Morocco, Niger, Peru, Republic of Korea, Senegal, Sierra Leone, South Africa, Sri Lanka, United Republic of Tanzania, Zambia.""]"
109. 为此，《国家安全和防卫法》的生效，扩大了治安部队参与调查的范围，将司法警察的职能授予了军事部队，是令人深感不安的现象。,"In this context, the entry into force of the National Security and Defence Act, which broadens the security forces' participation in investigations, granting judicial police functions to the military forces, is deeply disturbing.",JSON,"[""In this context, the entry into force of the National Security and Defence Act, which broadens the security forces' participation in investigations, granting judicial police functions to the military forces, is deeply disturbing.""]"
在苏丹南方，联苏特派团与开发署协调，继续为南方各机构提供支助，重点是各州的习惯法和活动，以提高机构效率，确保使其遵守人权标准。,"In Southern Sudan, UNMIS, in coordination with UNDP, continued to provide support to the Southern institutions, focusing on customary law and activities in the States in order to improve institutional efficiency and ensure their compliance with human rights standards.",JSON,"['In Southern Sudan, UNMIS, in coordination with UNDP, continued to provide support to the Southern institutions, focusing on customary law and activities in the States in order to improve institutional efficiency and ensure their compliance with human rights standards.']"
在儿童死亡率下降方面，值得强调的另一个因素是国内出生率的下降。,Another aspect worth mentioning in connection with the reduction of infant mortality is the decline in the birth rate.,JSON,['Another aspect worth mentioning in connection with the reduction of infant mortality is the decline in the birth rate.']
在300多万索马里人急需援助的情况下，提供人道主义援助应当继续作为整个国际社会的优先事项。,"In a situation in which more than 3 million Somalis are in dire need of assistance, humanitarian access should continue to be a priority for the international community as a whole.",JSON,"['In a situation in which more than 3 million Somalis are in dire need of assistance, humanitarian access should continue to be a priority for the international community as a whole.']"
空军约有1 800名军事人员、近2 200名家属和不到400名文职雇工。,"In 2000, the Navy had about 4,000 military personnel, about 4,000 dependants and 2,000-3,000 contract civilian workers.",JSON,"['In 2000, the Navy had about 4,000 military personnel, about 4,000 dependants and 2,000-3,000 contract civilian workers.']"
除了贝尔格莱德和普里什蒂纳，科索沃塞族也必须作为该进程的一方得到处理。,"In addition to Belgrade and Pristina, the Kosovo Serbs will have to be addressed as a party to this process.",JSON,"['In addition to Belgrade and Pristina, the Kosovo Serbs will have to be addressed as a party to this process.']"
安理会还对其涉及反恐怖主义的附属机构，即关于基地组织和塔利班及有关个人和实体的第1267(1999)号决议所设委员会、关于反恐怖主义的第1373(2001)号决议所设委员会及其执行局、以及关于不扩散大规模毁灭性武器的第1540(2004)号决议所设委员会的工作给予了适当关注。,"The Council also paid due attention to the work of its counter-terrorism-related subsidiary bodies, namely the Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban and associated individuals and entities, the Committee established pursuant to resolution 1373 (2001) concerning counter-terrorism, and its Executive Directorate, and the Committee established pursuant to resolution 1540 (2004) concerning the non-proliferation of weapons of mass destruction.",JSON,"['The Council also paid due attention to the work of its counter-terrorism-related subsidiary bodies, namely the Committee established pursuant to resolution 1267 (1999) concerning Al-Qaida and the Taliban and associated individuals and entities, the Committee established pursuant to resolution 1373 (2001) concerning counter-terrorism, and its Executive Directorate, and the Committee established pursuant to resolution 1540 (2004) concerning the non-proliferation of weapons of mass destruction.']"
